INFO:     Started server process [13167]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
✓ LangFuse tracing enabled → https://cloud.langfuse.com
INFO:     127.0.0.1:63321 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:63342 - "GET /api/portfolio/summary HTTP/1.1" 200 OK
INFO:     127.0.0.1:63343 - "GET /api/portfolio/summary HTTP/1.1" 200 OK
INFO:     127.0.0.1:63350 - "GET /api/portfolio/summary HTTP/1.1" 200 OK
INFO:     127.0.0.1:63351 - "GET /api/portfolio/summary HTTP/1.1" 200 OK
INFO:     127.0.0.1:63353 - "GET /api/screener/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:63354 - "GET /api/sessions HTTP/1.1" 200 OK
INFO:     127.0.0.1:63357 - "GET /api/screener/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:63360 - "GET /api/sessions HTTP/1.1" 200 OK
INFO:     127.0.0.1:63363 - "GET /api/sessions/f102e55f-210d-4cda-b4ee-091eaec0be59/messages HTTP/1.1" 200 OK
INFO:     127.0.0.1:63370 - "GET /api/sessions/813a5977-a694-4032-a35b-99780512f97f/messages HTTP/1.1" 200 OK
INFO:     127.0.0.1:63374 - "GET /api/sessions/8df2b9e4-d092-4b61-bb0e-46e7aef938ab/messages HTTP/1.1" 200 OK
INFO:     127.0.0.1:63377 - "GET /api/sessions/f102e55f-210d-4cda-b4ee-091eaec0be59/messages HTTP/1.1" 200 OK
INFO:     127.0.0.1:63381 - "GET /api/sessions/813a5977-a694-4032-a35b-99780512f97f/messages HTTP/1.1" 200 OK
